#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CNPC:SvRequestUnfreeze	C2S	CNPC	SvRequestUnfreeze	10ec04a0	RMI_CNPC_SvRequestUnfreeze	no
CryGame.dll	RMI:CNPC:SvRequestHitAssistance	C2S	CNPC	SvRequestHitAssistance	10ec0550	RMI_CNPC_SvRequestHitAssistance	no
CryGame.dll	RMI:CNPC:ClEMP	S2C	CNPC	ClEMP	10ec0600	RMI_CNPC_ClEMP	no
CryGame.dll	RMI:CNPC:ClJump	S2C	CNPC	ClJump	10ec06b0	RMI_CNPC_ClJump	no
CryGame.dll	RMI:CNPC:SvRequestJump	C2S	CNPC	SvRequestJump	10ec0760	RMI_CNPC_SvRequestJump	no
CryGame.dll	RMI:CNPC:SvRequestParachute	C2S	CNPC	SvRequestParachute	10ec0810	RMI_CNPC_SvRequestParachute	no
CryGame.dll	RMI:CPlayer:SvRequestGrabOnLadder	C2S	CPlayer	SvRequestGrabOnLadder	10f03b60	RMI_CPlayer_SvRequestGrabOnLadder	no
CryGame.dll	RMI:CPlayer:SvRequestLeaveLadder	C2S	CPlayer	SvRequestLeaveLadder	10f03c80	RMI_CPlayer_SvRequestLeaveLadder	no
CryGame.dll	RMI:CPlayer:ClGrabOnLadder	S2C	CPlayer	ClGrabOnLadder	10f03da0	RMI_CPlayer_ClGrabOnLadder	no
CryGame.dll	RMI:CPlayer:ClLeaveLadder	S2C	CPlayer	ClLeaveLadder	10f03ec0	RMI_CPlayer_ClLeaveLadder	no
CryGame.dll	RMI:CPlayer:ClAnimGraphTransition	S2C	CPlayer	ClAnimGraphTransition	10f039f0	RMI_CPlayer_ClAnimGraphTransition	no
CryGame.dll	RMI:CPlayer:ClAnimGraphInput	S2C	CPlayer	ClAnimGraphInput	10f03ab0	RMI_CPlayer_ClAnimGraphInput	no
CryGame.dll	RMI:CPlayer:SvRequestUnfreeze	C2S	CPlayer	SvRequestUnfreeze	10f03fe0	RMI_CPlayer_SvRequestUnfreeze	no
